,,792,792,1092,1092,1192,1192,193,193,293,293,493,493,593,593,793,793,893,893,,,,,,,NYMPH MEANS CENTRAL,,,,NYMPH MEANS EASTERN
,km,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,,,,,,,,,,,
6,100,2.161172161,93.63745498,0.164835165,79.23169268,,,1.446886447,67.22689076,,,11.20879121,77.55102041,,,3.296703297,97.23889556,,,,,,,,,,,,,
7,120,2.06959707,96.63865546,0.128205128,86.91476591,,,1.208791209,81.75270108,,,1.776556777,80.43217287,,,2.912087912,96.75870348,,,,,,,,,,,,,
8,140,1.886446886,90.99639856,0.10989011,93.03721489,,,1.098901099,61.94477791,,,5.091575092,87.03481393,,,2.637362637,96.39855942,,,,,,,,,,,,,
9,160,1.208791209,87.515006,0.659340659,66.2665066,,,1.941391941,49.69987995,,,2.728937729,85.71428571,,,3.47985348,99.3997599,,,,,,,,,,,,,
10,180,1.684981685,98.19927971,0.256410256,90.15606242,,,2.014652015,92.19687875,,,2.014652015,83.79351741,,,1.263736264,98.67947179,,,,,,,,,,,,,
1,0,,,,,0.165424739,25.95520422,,,0.670640835,22.00263505,,,0.594634873,55.33596838,,,0.107302534,25.95520422,,,,,,,,,,,
2,10,,,,,0.134128167,19.89459816,,,0.800298063,11.85770751,,,0.107302534,25.03293808,,,0.129657228,10.01317523,,,,,,,,,,,
3,20,,,,,0.165424739,13.43873518,,,0.912071535,21.08036891,,,0.129657228,15.15151515,,,0.165424739,16.60079051,,,,,,,,,,,
4,30,,,,,0.165424739,11.98945982,,,0.871833085,15.94202899,,,0.304023845,20.28985507,,,0.165424739,35.83662714,,,,,,,,,,,
5,40,,,,,0.827123696,40.71146245,,,1.283159463,75.36231884,,,0.482861401,72.85902503,,,0.393442623,61.00131752,,,,,,,,,,,
6,50,,,,,0.56780924,64.82213439,,,0.800298063,58.1027668,,,0.393442623,89.06455863,,,0.196721311,83.53096179,,,,,,,,,,,
7,60,,,,,0.397913562,50.32938076,,,0.679582712,59.55204216,,,0.277198212,83.92621871,,,0.125186289,74.04479578,,,,,,,,,,,
8,70,,,,,0.496274218,78.52437418,,,2.79880775,51.77865613,,,0.786885246,85.63899868,,,0.603576751,82.87220026,,,,,,,,,,,
9,80,,,,,0.093889717,78.65612648,,,2.168405365,80.10540184,,,1.086438152,87.35177866,,,0.228017884,72.85902503,,,,,,,,,,,
10,90,,,,,0.40685544,96.83794466,,,1.45752608,62.31884058,,,0.505216095,75.62582345,,,1.837555887,48.22134387,,,,,,,,,,,
